timestamp,exercise,reps,duration_sec,notes
2025-11-13T17:03:15.751467,Push-Up,0,11.322105646133423,
2025-11-13T17:12:46.381621,Push-Up,1,36.267168283462524,well
2025-11-13T17:28:13.971364,Push-Up,0,49.791438579559326,
2025-11-13T17:32:14.717647,Push-Up,0,44.08601355552673,
2025-11-13T17:38:33.339897,Push-Up,6,25.69448184967041,
2025-11-13T17:42:49.704501,Bicep Curl (Right),8,37.98112106323242,
