1763055082.409617,0,up,Move into frame
1763055082.4576194,0,up,Move into frame
1763055082.5095065,0,up,Move into frame
1763055082.5862117,0,up,Move into frame
1763055082.667897,0,up,Move into frame
1763055082.7421384,0,up,Move into frame
1763055082.832946,0,up,Move into frame
1763055082.9102027,0,up,Move into frame
1763055082.99009,0,up,Move into frame
1763055083.0691938,0,up,Move into frame
1763055083.161651,0,up,Move into frame
1763055083.230736,0,up,Move into frame
1763055083.3123589,0,up,Move into frame
1763055083.39462,0,up,Move into frame
1763055083.4768467,0,up,Move into frame
1763055083.5579922,0,up,Move into frame
1763055083.6370013,0,up,Move into frame
1763055083.7162302,0,up,Move into frame
1763055083.7937,0,up,Move into frame
1763055083.8747983,0,up,Move into frame
1763055083.95782,0,up,Move into frame
1763055084.031483,0,up,Move into frame
1763055084.1130626,0,up,Move into frame
1763055084.1967776,0,up,Move into frame
1763055084.2716775,0,up,Move into frame
1763055084.3535717,0,up,Move into frame
1763055084.4410427,0,up,Move into frame
1763055084.5098064,0,up,Move into frame
1763055084.5986648,0,up,Move into frame
1763055084.6750038,0,up,Move into frame
1763055084.7500346,0,up,Move into frame
1763055084.8329751,0,up,Move into frame
1763055084.9079046,0,up,Move into frame
1763055084.98989,0,up,Move into frame
1763055085.0640552,0,up,Move into frame
1763055085.155706,0,up,Move into frame
1763055085.2345107,0,up,Move into frame
1763055085.3163462,0,up,Move into frame
1763055085.3913052,0,up,Move into frame
1763055085.46978,0,up,Move into frame
1763055085.5569522,0,up,Move into frame
1763055085.6405835,0,up,Move into frame
1763055085.7171295,0,up,Move into frame
1763055085.7914088,0,up,Move into frame
1763055085.871544,0,up,Move into frame
1763055085.9542,0,up,Move into frame
1763055086.0363884,0,up,Move into frame
1763055086.1073787,0,up,Move into frame
1763055086.190106,0,up,Move into frame
1763055086.2736027,0,up,Move into frame
1763055086.3574126,0,up,Move into frame
1763055086.4285069,0,up,Move into frame
1763055086.5116792,0,up,Move into frame
1763055086.5869954,0,up,Move into frame
1763055086.673835,0,up,Move into frame
1763055086.7506044,0,up,Move into frame
1763055086.8395472,0,up,Move into frame
1763055086.9133015,0,up,Move into frame
1763055086.9969897,0,up,Move into frame
1763055087.0663576,0,up,Move into frame
1763055087.1511736,0,up,Move into frame
1763055087.2355123,0,up,Move into frame
1763055087.3122125,0,up,Move into frame
1763055087.3889377,0,up,Move into frame
1763055087.4727829,0,up,Move into frame
1763055087.563761,0,up,Move into frame
1763055087.6373296,0,up,Move into frame
